Employer,SiteName,County_Name,State_Abbreviation,County_FIPS_Code,Headcount,Percent_Parents_U6,Avg_Salary,Remote_Share,Baseline_Turnover_Rate,Cost_Per_Turnover,Retention_Lift_If_Stipend,Uptake_Rate,Avg_Children_Per_Parent
Apple,Cupertino HQ,Santa Clara County,CA,06085,23000,0.16,210000,0.35,0.15,45000,0.08,0.6,1.2
Google,Mountain View,Santa Clara County,CA,06085,22000,0.17,220000,0.4,0.16,50000,0.09,0.62,1.2
NVIDIA,Santa Clara,Santa Clara County,CA,06085,9000,0.18,205000,0.45,0.14,55000,0.08,0.65,1.2
HP,Palo Alto,Santa Clara County,CA,06085,6000,0.15,165000,0.5,0.17,40000,0.07,0.58,1.15
Meta,Menlo Park,San Mateo County,CA,06081,15000,0.17,215000,0.5,0.16,60000,0.09,0.6,1.2
Salesforce,San Francisco,San Francisco County,CA,06075,12000,0.16,200000,0.55,0.15,50000,0.08,0.6,1.2
Uber,San Francisco HQ,San Francisco County,CA,06075,7000,0.15,190000,0.55,0.18,45000,0.07,0.57,1.15
Disney,Burbank,Los Angeles County,CA,06037,18000,0.17,140000,0.3,0.19,38000,0.07,0.6,1.25
Qualcomm,San Diego,San Diego County,CA,06073,11000,0.17,175000,0.4,0.16,42000,0.08,0.62,1.2
Oracle,Redwood Shores,San Mateo County,CA,06081,8000,0.16,180000,0.55,0.17,42000,0.07,0.55,1.15
Kaiser Permanente,Oakland,Alameda County,CA,06001,14000,0.19,135000,0.25,0.17,35000,0.07,0.62,1.25
Disney Parks,Anaheim,Orange County,CA,06059,16000,0.18,95000,0.1,0.22,30000,0.06,0.55,1.25
State of California,Sacramento,Sacramento County,CA,06067,20000,0.2,105000,0.4,0.17,30000,0.06,0.6,1.25
Amazon,Seattle HQ,King County,WA,53033,35000,0.15,175000,0.3,0.17,50000,0.08,0.6,1.2
Microsoft,Redmond,King County,WA,53033,28000,0.16,185000,0.4,0.15,55000,0.09,0.62,1.2
Starbucks,Seattle HQ,King County,WA,53033,12000,0.18,90000,0.2,0.25,25000,0.08,0.5,1.3
Boeing,Everett,Snohomish County,WA,53061,16000,0.17,135000,0.1,0.16,40000,0.07,0.58,1.25
T-Mobile,Bellevue,King County,WA,53033,9000,0.16,130000,0.45,0.18,35000,0.07,0.58,1.2
Costco,Issaquah HQ,King County,WA,53033,8000,0.17,110000,0.25,0.17,32000,0.07,0.55,1.25
Kaiser Permanente WA,Spokane,Spokane County,WA,53063,4000,0.19,115000,0.2,0.18,30000,0.07,0.57,1.25
PeaceHealth,Vancouver,Clark County,WA,53011,5000,0.19,110000,0.15,0.19,28000,0.07,0.58,1.25
Energy Northwest,Richland,Benton County,WA,53005,3000,0.17,120000,0.1,0.16,32000,0.07,0.56,1.2
