State_Abbreviation,County_Name,annual_price,income,stipend_month
WA,Clark County,9600.24,71636.0,382.14333333333326
WA,Benton County,9239.88,65650.0,387.0316666666666
WA,Spokane County,9239.88,54852.0,450.0199999999999
CA,San Diego County,10914.279999999999,74855.0,472.86916666666656
CA,Sacramento County,10419.76,63902.0,495.5516666666667
WA,Pierce County,10799.88,67868.0,504.09333333333325
WA,Snohomish County,11879.92,82751.0,507.27916666666664
CA,Los Angeles County,11245.52,64251.0,562.3291666666667
CA,Contra Costa County,13334.88,93712.0,564.5866666666665
CA,Santa Clara County,15103.919999999998,116178.0,580.9549999999998
CA,Orange County,13050.96,85398.0,589.4249999999998
CA,San Mateo County,15696.2,113776.0,644.3233333333334
WA,King County,14519.960000000001,89418.0,688.3916666666668
CA,Alameda County,15094.559999999998,92574.0,717.8649999999998
CA,San Francisco County,16547.440000000002,104552.0,769.066666666667
