State_Abbreviation,median_burden_pct,n_counties
WA,17.8,39
MA,16.9,14
CA,16.0,58
VT,15.3,14
NC,15.3,98
NY,14.9,62
ME,14.9,16
OH,14.8,88
CT,14.2,8
WI,14.1,71
RI,13.7,5
WV,13.6,55
PA,13.6,67
UT,13.5,29
OR,13.4,36
VA,12.9,133
IL,12.7,102
TX,12.7,254
AZ,12.6,15
TN,12.5,95
OK,12.5,77
NH,12.5,10
KY,12.4,120
SC,12.4,46
AL,12.3,67
AR,12.2,75
ID,12.0,44
MI,12.0,83
MN,11.8,87
MD,11.5,24
WY,11.4,23
NJ,11.3,21
NE,11.3,93
MO,10.7,5
KS,9.9,105
ND,9.4,53
SD,8.5,66
MS,8.2,82
